PLAYER,TEAM,GP,W,L,OFFRTG,DEFRTG,USG.,PIE,PACE,POSS,WINPCT,TEAMWIN
Kelly Oubre Jr.,CHA,48,16,32,107.6,115.3,25.7,9.4,101.92,3275,0.333,0.451
Payton Pritchard,BOS,48,32,16,107.9,106.5,19.3,7.6,99.69,1332,0.667,0.695
Raul Neto,CLE,48,31,17,111.2,109.8,13.3,8.7,96.76,1017,0.646,0.573
Robert Covington,LAC,48,20,28,109.2,110.2,14.9,9.7,100.85,1640,0.417,0.427
Frank Ntilikina,DAL,47,20,27,113.5,108.4,12.5,3.3,101.67,1273,0.426,0.537
Jaxson Hayes,NOP,47,22,25,103.4,108.8,14.9,9,102.29,1300,0.468,0.646
Kevin Durant,PHX,47,34,13,117.1,110.3,30.5,18.5,99,3458,0.723,0.488
R.J. Hampton,DET,47,9,38,107.1,115.8,17.5,7.4,99.76,1556,0.191,0.268
Bryce McGowens,CHA,46,16,30,102.6,112.3,14.7,5.3,103.04,1696,0.348,0.451
Chris Duarte,IND,46,19,27,109.4,115.6,18.1,6.1,102.61,1920,0.413,0.512
George Hill,IND,46,27,19,108.8,106.9,11,7.9,102.27,1779,0.587,0.512
Joe Ingles,MIL,46,32,14,114.9,112.4,12.2,7.6,104.12,2274,0.696,0.707
Justin Holiday,DAL,46,18,28,104.8,113.9,13.2,3.7,104.48,1542,0.391,0.537
Kai Jones,CHA,46,13,33,105.3,108.4,12.1,7.3,102.09,1171,0.283,0.451
Brandon Ingram,NOP,45,23,22,115.5,112.5,30.6,14.4,98.87,3169,0.511,0.646
Davis Bertans,DAL,45,20,25,110.6,114.8,15.5,6.9,100.33,1031,0.444,0.537
James Wiseman,DET,45,11,34,104.7,121.9,21.2,10.4,101.29,1825,0.244,0.268
Ty Jerome,GSW,45,22,23,110.7,116.3,14.7,9.2,102.32,1741,0.489,0.427
Dean Wade,CLE,44,30,14,109.7,103.2,10,6.1,98.09,1817,0.682,0.573
Theo Maledon,CHA,44,14,30,106.9,115.8,16.6,9.1,102.36,1827,0.318,0.451
Darius Bazley,PHX,43,19,24,105.5,109.2,16.5,8.8,101.93,1298,0.442,0.488
Davon Reed,LAL,43,29,14,97.5,111.7,14.2,4.6,102.29,732,0.674,0.329
